Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"2,270.38",221.74,"15,546.49","9,780.16","9,235.71","8,945.03","1,976.84","1,205.02",407.63
Time To Second Token (ms),33.47,1.19,524.23,49.93,43.86,41.32,36.66,31.83,28.25
Request Latency (ms),"10,829.75","6,089.85","22,439.36","17,012.87","16,379.59","16,092.12","10,553.12","9,906.46","9,481.27"
Inter Token Latency (ms),35.08,23.87,39.85,38.98,38.40,37.97,36.82,35.84,34.42
Output Token Throughput Per User (tokens/sec/user),28.71,25.09,41.90,35.00,34.46,34.05,29.06,27.90,27.16
Output Sequence Length (tokens),245.00,236.00,251.00,245.00,245.00,245.00,245.00,245.00,245.00
Input Sequence Length (tokens),"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00"

Metric,Value
Output Token Throughput (tokens/sec),"2,252.70"
Request Throughput (per sec),9.19
Request Count (count),"10,000.00"
